Mod:Item:MetaData, Localized Name
nuclearcraft:fluid_diborane, Diborane
nuclearcraft:fluid_sulfur_dioxide, Sulfur Dioxide
nuclearcraft:fluid_sulfur_trioxide, Sulfur Trioxide
nuclearcraft:fluid_hydrofluoric_acid, Hydrofluoric Acid
nuclearcraft:fluid_boric_acid, Boric Acid
nuclearcraft:fluid_sulfuric_acid, Sulfuric Acid
nuclearcraft:fluid_boron_nitride_solution, Boron Nitride Solution
nuclearcraft:fluid_fluorite_water, Fluorite Water
nuclearcraft:fluid_calcium_sulfate_solution, Calcium Sulfate Solution
nuclearcraft:fluid_sodium_fluoride_solution, Sodium Fluoride Solution
nuclearcraft:fluid_potassium_fluoride_solution, Potassium Fluoride Solution
nuclearcraft:fluid_sodium_hydroxide_solution, Sodium Hydroxide Solution
nuclearcraft:fluid_potassium_hydroxide_solution, Potassium Hydroxide Solution
nuclearcraft:fluid_borax_solution, Borax Solution
nuclearcraft:fluid_irradiated_borax_solution, Irradiated Borax Solution
nuclearcraft:fluid_corium, Corium
nuclearcraft:fluid_ice, Crushed Ice
nuclearcraft:fluid_slurry_ice, Slurry Ice
nuclearcraft:fluid_chocolate_liquor, Chocolate Liquor
nuclearcraft:fluid_cocoa_butter, Cocoa Butter
nuclearcraft:fluid_unsweetened_chocolate, Molten Unsweetened Chocolate
nuclearcraft:fluid_dark_chocolate, Molten Dark Chocolate
nuclearcraft:fluid_milk_chocolate, Molten Milk Chocolate
nuclearcraft:fluid_sugar, Molten Sugar
nuclearcraft:fluid_gelatin, Molten Gelatin
nuclearcraft:fluid_hydrated_gelatin, Hydrated Gelatin
nuclearcraft:fluid_marshmallow, Liquid Marshmallow
nuclearcraft:fluid_milk, Milk
nuclearcraft:fluid_lif, Molten Lithium Fluoride
nuclearcraft:fluid_bef2, Molten Beryllium Fluoride
nuclearcraft:fluid_flibe, Molten FLiBe Salt Mixture
nuclearcraft:fluid_naoh, Molten Sodium Hydroxide
nuclearcraft:fluid_koh, Molten Potassium Hydroxide
nuclearcraft:fluid_high_pressure_steam, High Pressure Steam
nuclearcraft:fluid_exhaust_steam, Exhaust Steam
nuclearcraft:fluid_low_pressure_steam, Low Pressure Steam
nuclearcraft:fluid_low_quality_steam, Low Quality Steam
nuclearcraft:fluid_preheated_water, Preheated Water
nuclearcraft:fluid_condensate_water, Condensate Water
nuclearcraft:fluid_sodium, Molten Sodium
nuclearcraft:fluid_potassium, Molten Potassium
nuclearcraft:fluid_nak, Eutectic NaK Alloy
nuclearcraft:fluid_nak_hot, Hot Eutectic NaK Alloy
nuclearcraft:fluid_emergency_coolant, Emergency Coolant
nuclearcraft:fluid_emergency_coolant_heated, Heated Emergency Coolant
nuclearcraft:fluid_arsenic, Sublimated Arsenic
nuclearcraft:fluid_bas, Molten Boron Arsenide
nuclearcraft:fluid_sic_vapor, Silicon Carbide Vapor
nuclearcraft:fluid_alugentum, Molten Alugentum
nuclearcraft:fluid_alumina, Molten Alumina
nuclearcraft:fluid_strontium_90, Molten Strontium-90
nuclearcraft:fluid_molybdenum, Molten Molybdenum
nuclearcraft:fluid_ruthenium_106, Molten Ruthenium-106
nuclearcraft:fluid_caesium_137, Molten Caesium-137
nuclearcraft:fluid_promethium_147, Molten Promethium-147
nuclearcraft:fluid_europium_155, Molten Europium-155
qmd:beamline, Beamline Pipe
qmd:linear_accelerator_controller, Linear Accelerator Controller
qmd:ring_accelerator_controller, Synchrotron Accelerator Controller
qmd:accelerator_beam, Accelerator Beam Block
qmd:accelerator_casing, Accelerator Casing
qmd:accelerator_computer_port, Accelerator Computer Port
qmd:accelerator_redstone_port, Accelerator Redstone Port
qmd:accelerator_port, Accelerator Ion Source Port
qmd:accelerator_glass, Accelerator Glass
qmd:accelerator_vent, Accelerator Coolant Vent
qmd:accelerator_beam_port, Accelerator Beam Port
qmd:accelerator_synchrotron_port, Accelerator Synchrotron Port
qmd:accelerator_cavity:0, Copper RF Cavity
qmd:accelerator_cavity:1, Magnesium Diboride RF Cavity
qmd:accelerator_cavity:2, Niobium-Tin RF Cavity
qmd:accelerator_cavity:3, Niobium-Titanium RF Cavity
qmd:accelerator_cavity:4, BSCCO RF Cavity
qmd:accelerator_magnet:0, Copper Accelerator Electromagnet
qmd:accelerator_magnet:1, Magnesium Diboride Accelerator Electromagnet
qmd:accelerator_magnet:2, Niobium-Tin Accelerator Electromagnet
qmd:accelerator_magnet:3, Niobium-Titanium Accelerator Electromagnet
qmd:accelerator_magnet:4, BSCCO Accelerator Electromagnet
qmd:accelerator_yoke, Accelerator Electromagnet Yoke
qmd:accelerator_cooler1:0, Water Accelerator Cooler
qmd:accelerator_cooler1:1, Iron Accelerator Cooler
qmd:accelerator_cooler1:2, Redstone Accelerator Cooler
qmd:accelerator_cooler1:3, Quartz Accelerator Cooler
qmd:accelerator_cooler1:4, Obsidian Accelerator Cooler
qmd:accelerator_cooler1:5, Nether Brick Accelerator Cooler
qmd:accelerator_cooler1:6, Glowstone Accelerator Cooler
qmd:accelerator_cooler1:7, Lapis Accelerator Cooler
qmd:accelerator_cooler1:8, Gold Accelerator Cooler
qmd:accelerator_cooler1:9, Prismarine Accelerator Cooler
qmd:accelerator_cooler1:10, Slime Accelerator Cooler
qmd:accelerator_cooler1:11, End Stone Accelerator Cooler
qmd:accelerator_cooler1:12, Purpur Accelerator Cooler
qmd:accelerator_cooler1:13, Diamond Accelerator Cooler
qmd:accelerator_cooler1:14, Emerald Accelerator Cooler
qmd:accelerator_cooler1:15, Copper Accelerator Cooler
qmd:accelerator_cooler2:0, Tin Accelerator Cooler
qmd:accelerator_cooler2:1, Lead Accelerator Cooler
qmd:accelerator_cooler2:2, Boron Accelerator Cooler
qmd:accelerator_cooler2:3, Lithium Accelerator Cooler
qmd:accelerator_cooler2:4, Magnesium Accelerator Cooler
qmd:accelerator_cooler2:5, Manganese Accelerator Cooler
qmd:accelerator_cooler2:6, Aluminum Accelerator Cooler
qmd:accelerator_cooler2:7, Silver Accelerator Cooler
qmd:accelerator_cooler2:8, Fluorite Accelerator Cooler
qmd:accelerator_cooler2:9, Villiaumite Accelerator Cooler
qmd:accelerator_cooler2:10, Carobbiite Accelerator Cooler
qmd:accelerator_cooler2:11, Arsenic Accelerator Cooler
qmd:accelerator_cooler2:12, Liquid Nitrogen Accelerator Cooler
qmd:accelerator_cooler2:13, Liquid Helium Accelerator Cooler
qmd:accelerator_cooler2:14, Enderium Accelerator Cooler
qmd:accelerator_cooler2:15, Cryotheum Accelerator Cooler
qmd:accelerator_source, Accelerator Ion Source
qmd:accelerator_energy_port, Accelerator Energy Port
qmd:beam_diverter_controller, Beam Diverter Controller
qmd:beam_splitter_controller, Beam Splitter Controller
qmd:decelerator_controller, Decelerator Controller
qmd:mass_spectrometer_controller, Mass Spectrometer Controller
qmd:accelerator_laser_ion_source, Accelerator Laser Ion Source
qmd:accelerator_ion_collector, Accelerator Ion Collector
qmd:target_chamber_controller, Target Chamber Controller
qmd:decay_chamber_controller, Decay Chamber Controller
qmd:beam_dump_controller, Beam Dump Controller
qmd:collision_chamber_controller, Collision Chamber Controller
qmd:particle_chamber_beam, Particle Chamber Beam Block
qmd:particle_chamber_casing, Particle Chamber Casing
qmd:particle_chamber_glass, Particle Chamber Glass
qmd:particle_chamber_beam_port, Particle Chamber Beam Port
qmd:particle_chamber_detector:0, Bubble Chamber Detector
qmd:particle_chamber_detector:1, Silicon Tracker Detector
qmd:particle_chamber_detector:2, Wire Chamber Detector
qmd:particle_chamber_detector:3, Electromagnetic Calorimeter Detector
qmd:particle_chamber_detector:4, Hadron Calorimeter Detector
qmd:particle_chamber_energy_port, Particle Chamber Energy Port
qmd:particle_chamber, Particle Chamber
qmd:particle_chamber_port, Particle Chamber Item Port
qmd:particle_chamber_fluid_port, Particle Chamber Fluid Port
qmd:ore_leacher, Ore Leacher
qmd:irradiator, Irradiator
qmd:atmosphere_collector, Atmosphere Collector
qmd:fission_reflector:0, Tungsten Carbide Neutron Reflector
qmd:fission_shield:0, Hafnium Fission Neutron Shield
qmd:rtg_strontium, Strontium RTG
qmd:discharge_lamp:0, Discharge Lamp
qmd:discharge_lamp:1, Hydrogen Discharge Lamp
qmd:discharge_lamp:2, Helium Discharge Lamp
qmd:discharge_lamp:3, Nitrogen Discharge Lamp
qmd:discharge_lamp:4, Oxygen Discharge Lamp
qmd:discharge_lamp:5, Neon Discharge Lamp
qmd:discharge_lamp:6, Argon Discharge Lamp
qmd:discharge_lamp2:0, Sodium Discharge Lamp
qmd:discharge_lamp2:1, Mercury Discharge Lamp
qmd:neutral_containment_controller, Exotic Containment Chamber Controller
qmd:nucleosynthesis_chamber_controller, Nucleosynthesis Chamber Controller
qmd:containment_casing, Vacuum Chamber Casing
qmd:containment_glass, Vacuum Chamber Glass
qmd:containment_port, Vacuum Chamber Item Port
qmd:containment_beam_port, Vacuum Chamber Beam Port
qmd:containment_vent, Vacuum Chamber Coolant Vent
qmd:containment_energy_port, Vacuum Chamber Energy Port
qmd:vacuum_chamber_fluid_port, Vacuum Chamber Fluid Port
qmd:containment_coil, Vacuum Chamber Coil
qmd:containment_laser, Vacuum Chamber Laser
qmd:vacuum_chamber_beam, Vacuum Chamber Beam
qmd:vacuum_chamber_plasma_glass, Vacuum Chamber Plasma Glass
qmd:vacuum_chamber_plasma_nozzle, Vacuum Chamber Plasma Nozzle
qmd:vacuum_chamber_heater:0, Iron Vacuum Chamber Heater
qmd:vacuum_chamber_heater:1, Redstone Vacuum Chamber Heater
qmd:vacuum_chamber_heater:2, Quartz Vacuum Chamber Heater
qmd:vacuum_chamber_heater:3, Obsidian Vacuum Chamber Heater
qmd:vacuum_chamber_heater:4, Glowstone Vacuum Chamber Heater
qmd:vacuum_chamber_heater:5, Lapis Vacuum Chamber Heater
qmd:vacuum_chamber_heater:6, Gold Vacuum Chamber Heater
qmd:vacuum_chamber_heater:7, Diamond Vacuum Chamber Heater
qmd:vacuum_chamber_heater_vent, Vacuum Chamber Heater Vent
qmd:vacuum_chamber_redstone_port, Vacuum Chamber Redstone Port
qmd:strontium_90_block, Strontium-90 Block
qmd:block_green_luminous_paint, tile.qmd.block_green_luminous_paint.name
qmd:block_blue_luminous_paint, tile.qmd.block_blue_luminous_paint.name
qmd:block_orange_luminous_paint, tile.qmd.block_orange_luminous_paint.name
qmd:creative_particle_source, Creative Particle Source
qmd:turbine_blade_super_alloy, Super Alloy Turbine Rotor Blade
qmd:dust:0, Tungsten Dust
qmd:dust:1, Niobium Dust
qmd:dust:2, Chromium Dust
qmd:dust:3, Titanium Dust
qmd:dust:4, Cobalt Dust
qmd:dust:5, Nickel Dust
qmd:dust:6, Hafnium Dust
qmd:dust:7, Zinc Dust
qmd:dust:8, Osmium Dust
qmd:dust:9, Iridium Dust
qmd:dust:10, Platinum Dust
qmd:dust:11, Sodium Dust
qmd:dust:12, Potassium Dust
qmd:dust:13, Calcium Dust
qmd:dust:14, Strontium Dust
qmd:dust2:0, Yttrium Dust
qmd:dust2:1, Neodymium Dust
qmd:dust2:2, Iodine Dust
qmd:dust2:3, Samarium Dust
qmd:dust2:4, Terbium Dust
qmd:dust2:5, Erbium Dust
qmd:dust2:6, Ytterbium Dust
qmd:ingot:0, Tungsten Ingot
qmd:ingot:1, Niobium Ingot
qmd:ingot:2, Chromium Ingot
qmd:ingot:3, Titanium Ingot
qmd:ingot:4, Cobalt Ingot
qmd:ingot:5, Nickel Ingot
qmd:ingot:6, Hafnium Ingot
qmd:ingot:7, Zinc Ingot
qmd:ingot:8, Osmium Ingot
qmd:ingot:9, Iridium Ingot
qmd:ingot:10, Platinum Ingot
qmd:ingot:11, Sodium Ingot
qmd:ingot:12, Potassium Ingot
qmd:ingot:13, Calcium Ingot
qmd:ingot:14, Strontium Ingot
qmd:ingot2:0, Yttrium Ingot
qmd:ingot2:1, Neodymium Ingot
qmd:ingot2:2, Mercury (Legacy Item)
qmd:ingot_alloy:0, Tungsten Carbide Ingot
qmd:ingot_alloy:1, Niobium-Tin Ingot
qmd:ingot_alloy:2, Stainless Steel Ingot
qmd:ingot_alloy:3, Niobium-Titanium Ingot
qmd:ingot_alloy:4, Osmiridium Ingot
qmd:ingot_alloy:5, Nichrome Ingot
qmd:ingot_alloy:6, Super Alloy Ingot
qmd:source:0, Tungsten Filament
qmd:source:1, Sodium-22 Source
qmd:source:2, Cobalt-60 Source
qmd:source:3, Iridium-192 Source
qmd:source:4, Calcium-48 Source
qmd:isotope:0, Sodium-22
qmd:isotope:1, Beryllium-7
qmd:isotope:2, Magnesium-24
qmd:isotope:3, Magnesium-26
qmd:isotope:4, Uranium-234
qmd:isotope:5, Protactinium-231 Dust
qmd:isotope:6, Cobalt-60
qmd:isotope:7, Iridium-192
qmd:isotope:8, Calcium-48
qmd:part:0, Empty Cooler
qmd:part:1, Empty Detector Casing
qmd:part:2, Lead Tungstate Scintillator
qmd:part:3, Plastic Scintillator
qmd:part:4, BSCCO Wire
qmd:part:5, Neodymium Doped YAG Rod
qmd:part:6, Gold Plated Tungsten Wire
qmd:part:7, Empty Wire Chamber
qmd:part:8, Neodymium Magnet
qmd:part:9, Accelerating Barrel
qmd:part:10, Laser Assembly
qmd:semiconductor:0, P-Type Doped Silicon
qmd:semiconductor:1, N-Type Doped Silicon
qmd:semiconductor:2, Silicon Boule
qmd:semiconductor:3, Silicon Wafer
qmd:semiconductor:4, Basic Processor
qmd:semiconductor:5, Advanced Processor
qmd:semiconductor:6, Elite Processor
qmd:chemical_dust:0, Tungsten Oxide
qmd:chemical_dust:1, BSCCO Dust
qmd:chemical_dust:2, Sodium Nitrate
qmd:chemical_dust:3, Sodium Chloride
qmd:chemical_dust:4, Copper Oxide
qmd:chemical_dust:5, Hafnium Oxide
qmd:chemical_dust:6, Strontium Chloride
qmd:chemical_dust:7, Zinc Sulfide
qmd:waste_fission:0, Light Fission Waste
qmd:waste_fission:1, Heavy Fission Waste
qmd:waste_spallation:0, Californium Spallation Waste
qmd:waste_spallation:1, Berkelium Spallation Waste
qmd:waste_spallation:2, Curium Spallation Waste
qmd:waste_spallation:3, Americium Spallation Waste
qmd:waste_spallation:4, Plutonium Spallation Waste
qmd:waste_spallation:5, Neptunium Spallation Waste
qmd:waste_spallation:6, Uranium Spallation Waste
qmd:waste_spallation:7, Protactinium Spallation Waste
qmd:waste_spallation:8, Thorium Spallation Waste
qmd:waste_spallation:9, Radium Spallation Waste
qmd:waste_spallation:10, Polonium Spallation Waste
qmd:waste_spallation:11, Bismuth Spallation Waste
qmd:waste_spallation:12, Lead Spallation Waste
qmd:waste_spallation:13, Gold Spallation Waste
qmd:waste_spallation:14, Platinum Spallation Waste
qmd:waste_spallation:15, Iridium Spallation Waste
qmd:waste_spallation2:0, Osmium Spallation Waste
qmd:waste_spallation2:1, Tungsten Spallation Waste
qmd:waste_spallation2:2, Hafnium Spallation Waste
qmd:waste_spallation2:3, Mercury Spallation Waste
qmd:sword_tungsten_carbide, Tungsten Carbide Sword
qmd:pickaxe_tungsten_carbide, Tungsten Carbide Pickaxe
qmd:shovel_tungsten_carbide, Tungsten Carbide Shovel
qmd:axe_tungsten_carbide, Tungsten Carbide Axe
qmd:hoe_tungsten_carbide, Tungsten Carbide Hoe
qmd:flesh, Not So Rotten Flesh
qmd:potassium_iodine_tablet, Potassium Iodine Tablet
qmd:luminous_paint:0, Green Radioluminescent Paint
qmd:luminous_paint:1, Blue Radioluminescent Paint
qmd:luminous_paint:2, Orange Radioluminescent Paint
qmd:cell:0, Empty Cell
qmd:cell:1, Anti-Hydrogen Cell
qmd:cell:2, Anti-Deuterium Cell
qmd:cell:3, Anti-Tritium Cell
qmd:cell:4, Anti-Helium-3 Cell
qmd:cell:5, Anti-Helium Cell
qmd:cell:6, Positronium Cell
qmd:cell:7, Muonium Cell
qmd:cell:8, Tauonium Cell
qmd:cell:9, Glueball Cell
qmd:lepton_cannon, Lepton Cannon
qmd:gluon_gun, Gluon Gun
qmd:antimatter_launcher, Antimatter Launcher
qmd:beam_meter, Beam Meter
qmd:drill_basic, Electric Mining Drill
qmd:drill_advanced, Advanced Electric Mining Drill
qmd:copernicium:0, Copernicium-291
qmd:copernicium:1, Copernicium-291 Carbide
qmd:copernicium:2, Copernicium-291 Oxide
qmd:copernicium:3, Copernicium-291 Nitride
qmd:copernicium:4, Copernicium-291-Zirconium Alloy
qmd:pellet_copernicium:0, MIX-291
qmd:pellet_copernicium:1, MIX-291 Carbide
qmd:fuel_copernicium:0, MTRISO-291 Fuel Pebble
qmd:fuel_copernicium:1, MOX-291 Oxide Fuel Pellet
qmd:fuel_copernicium:2, MNI-291 Fuel Pellet
qmd:fuel_copernicium:3, MZA-291 Fuel Pellet
qmd:depleted_fuel_copernicium:0, Depleted MTRISO-291 Fuel Pebble
qmd:depleted_fuel_copernicium:1, Depleted MOX-291 Fuel Pellet
qmd:depleted_fuel_copernicium:2, Depleted MNI-291 Fuel Pellet
qmd:depleted_fuel_copernicium:3, Depleted MZA-291 Fuel Pellet
qmd:helm_hev, HEV Helmet
qmd:chest_hev, HEV Chestplate
qmd:legs_hev, HEV Leggings
qmd:boots_hev, HEV Boots
qmd:fluid_hydrochloric_acid, Hydrochloric Acid
qmd:fluid_nitric_acid, Nitric Acid
qmd:fluid_sodium_chloride_solution, Sodium Chloride Solution
qmd:fluid_sodium_nitrate_solution, Sodium Nitrate Solution
qmd:fluid_lead_nitrate_solution, Lead Nitrate Solution
qmd:fluid_sodium_tungstate_solution, Sodium Tungstate Solution
qmd:fluid_lead_tungstate_solution, Lead Tungstate Solution
qmd:fluid_liquid_hydrogen, Liquid Hydrogen
qmd:fluid_liquid_argon, Liquid Argon
qmd:fluid_liquid_neon, Liquid Neon
qmd:fluid_liquid_oxygen, Liquid Oxygen
qmd:fluid_mercury, Mercury
qmd:fluid_hot_mercury, Hot Mercury
qmd:fluid_iodine, Liquid Iodine
qmd:fluid_argon, Argon
qmd:fluid_neon, Neon
qmd:fluid_chlorine, Chlorine
qmd:fluid_nitric_oxide, Nitric Oxide
qmd:fluid_nitrogen_dioxide, Nitrogen Dioxide
qmd:fluid_compressed_air, Compressed Air
qmd:fluid_silicon, Molten Silicon
qmd:fluid_yag, Molten Yttrium Aluminum Garnet
qmd:fluid_nd_yag, Molten Neodymium Doped YAG
qmd:fluid_tungsten, Molten Tungsten
qmd:fluid_niobium, Molten Niobium
qmd:fluid_chromium, Molten Chromium
qmd:fluid_titanium, Molten Titanium
qmd:fluid_cobalt, Molten Cobalt
qmd:fluid_nickel, Molten Nickel
qmd:fluid_hafnium, Molten Hafnium
qmd:fluid_zinc, Molten Zinc
qmd:fluid_osmium, Molten Osmium
qmd:fluid_iridium, Molten Iridium
qmd:fluid_platinum, Molten Platinum
qmd:fluid_calcium, Molten Calcium
qmd:fluid_strontium, Molten Strontium
qmd:fluid_yttrium, Molten Yttrium
qmd:fluid_neodymium, Molten Neodymium
qmd:fluid_samarium, Molten Samarium
qmd:fluid_terbium, Molten Terbium
qmd:fluid_erbium, Molten Erbium
qmd:fluid_ytterbium, Molten Ytterbium
qmd:fluid_bismuth, Molten Bismuth
qmd:fluid_polonium, Molten Polonium
qmd:fluid_radium, Molten Radium
qmd:fluid_carbon, Sublimated Carbon
qmd:fluid_sodium_chloride, Molten Sodium Chloride
qmd:fluid_antihydrogen, Anti-Hydrogen
qmd:fluid_antideuterium, Anti-Deuterium
qmd:fluid_antitritium, Anti-Tritium
qmd:fluid_antihelium3, Anti-Helium-3
qmd:fluid_antihelium, Anti-Helium
qmd:fluid_positronium, Positronium
qmd:fluid_muonium, Muonium
qmd:fluid_tauonium, Tauonium
qmd:fluid_glueballs, Glueballs
thermalexpansion:machine:0, Redstone Furnace (Basic)
thermalexpansion:machine:1, Pulverizer (Basic)
thermalexpansion:machine:2, Sawmill (Basic)
thermalexpansion:machine:3, Induction Smelter (Basic)
thermalexpansion:machine:4, Phytogenic Insolator (Basic)
thermalexpansion:machine:5, Compactor (Basic)
thermalexpansion:machine:6, Magma Crucible (Basic)
thermalexpansion:machine:7, Fractionating Still (Basic)
thermalexpansion:machine:8, Fluid Transposer (Basic)
thermalexpansion:machine:9, Energetic Infuser (Basic)
thermalexpansion:machine:10, Centrifugal Separator (Basic)
thermalexpansion:machine:11, Sequential Fabricator (Basic)
thermalexpansion:machine:12, Alchemical Imbuer (Basic)
thermalexpansion:machine:13, Arcane Ensorcellator (Basic)
thermalexpansion:machine:14, Glacial Precipitator (Basic)
thermalexpansion:machine:15, Igneous Extruder (Basic)
thermalexpansion:device:0, Aqueous Accumulator
thermalexpansion:device:1, Nullifier
thermalexpansion:device:2, Thermal Mediator
thermalexpansion:device:3, Arboreal Extractor
thermalexpansion:device:4, Aquatic Entangler
thermalexpansion:device:5, Item Allocator
thermalexpansion:device:6, Fluid Allocator
thermalexpansion:device:7, Lexical Transmuter
thermalexpansion:device:8, Insightful Condenser
thermalexpansion:device:9, Decoctive Diffuser
thermalexpansion:device:10, Factorizer
thermalexpansion:device:11, Creature Encaptulator
thermalexpansion:device:12, Vacuumulator
thermalexpansion:dynamo:0, Steam Dynamo (Basic)
thermalexpansion:dynamo:1, Magmatic Dynamo (Basic)
thermalexpansion:dynamo:2, Compression Dynamo (Basic)
thermalexpansion:dynamo:3, Reactant Dynamo (Basic)
thermalexpansion:dynamo:4, Enervation Dynamo (Basic)
thermalexpansion:dynamo:5, Numismatic Dynamo (Basic)
thermalexpansion:cell:0, Energy Cell (Basic)
thermalexpansion:tank:0, Portable Tank (Basic)
thermalexpansion:cache:0, Cache (Basic)
thermalexpansion:strongbox:0, Strongbox (Basic)
thermalexpansion:capacitor:0, Flux Capacitor (Basic)
thermalexpansion:capacitor:1, Flux Capacitor (Hardened)
thermalexpansion:capacitor:2, Flux Capacitor (Reinforced)
thermalexpansion:capacitor:3, Flux Capacitor (Signalum)
thermalexpansion:capacitor:4, Flux Capacitor (Resonant)
thermalexpansion:capacitor:32000, Flux Capacitor (Creative)
thermalexpansion:reservoir:0, Reservoir (Basic)
thermalexpansion:reservoir:1, Reservoir (Hardened)
thermalexpansion:reservoir:2, Reservoir (Reinforced)
thermalexpansion:reservoir:3, Reservoir (Signalum)
thermalexpansion:reservoir:4, Reservoir (Resonant)
thermalexpansion:reservoir:32000, Reservoir (Creative)
thermalexpansion:satchel:0, Satchel (Basic)
thermalexpansion:satchel:1, Satchel (Hardened)
thermalexpansion:satchel:2, Satchel (Reinforced)
thermalexpansion:satchel:3, Satchel (Signalum)
thermalexpansion:satchel:4, Satchel (Resonant)
thermalexpansion:satchel:100, Satchel (Void)
thermalexpansion:satchel:32000, Satchel (Creative)
thermalexpansion:frame:0, Machine Frame
thermalexpansion:frame:64, Device Frame
thermalexpansion:frame:128, Energy Cell Frame
thermalexpansion:frame:129, Hardened Cell Frame
thermalexpansion:frame:130, Reinforced Cell Frame (Empty)
thermalexpansion:frame:131, Signalum Cell Frame (Empty)
thermalexpansion:frame:132, Resonant Cell Frame (Empty)
thermalexpansion:frame:146, Reinforced Cell Frame (Full)
thermalexpansion:frame:147, Signalum Cell Frame (Full)
thermalexpansion:frame:148, Resonant Cell Frame (Full)
thermalexpansion:augment:128, Augment: Auxiliary Reception Coil
thermalexpansion:augment:129, Augment: Auxiliary Sieve
thermalexpansion:augment:130, Augment: Nullification Chamber
thermalexpansion:augment:256, Augment: Trivection Chamber
thermalexpansion:augment:257, Augment: Flux Anodizers
thermalexpansion:augment:258, Augment: Pyrolytic Conversion
thermalexpansion:augment:273, Augment: Tectonic Initiator
thermalexpansion:augment:288, Augment: Resin Funnel
thermalexpansion:augment:303, Augment: Metallurgical Recovery
thermalexpansion:augment:304, Augment: Pyro-Concentrator
thermalexpansion:augment:320, Augment: Nutrient Recovery
thermalexpansion:augment:323, Augment: Sapling Infuser
thermalexpansion:augment:324, Augment: Monoculture Cycle
thermalexpansion:augment:336, Augment: Numismatic Press
thermalexpansion:augment:337, Augment: Gearworking Die
thermalexpansion:augment:352, Augment: Pyroconvective Loop
thermalexpansion:augment:368, Augment: Reflux Column
thermalexpansion:augment:369, Augment: Alchemical Retort
thermalexpansion:augment:400, Augment: Flux Linkage Concentrator
thermalexpansion:augment:401, Augment: Flux Reconstruction
thermalexpansion:augment:402, Augment: Parabolic Flux Coupling
thermalexpansion:augment:416, Augment: Enstabulation Apparatus
thermalexpansion:augment:432, Augment: Pattern Validation
thermalexpansion:augment:433, Augment: Fluidic Fabrication
thermalexpansion:augment:448, Augment: Reagent Recovery
thermalexpansion:augment:496, Augment: Pyroclastic Injection
thermalexpansion:augment:497, Augment: Clastic Deposition
thermalexpansion:augment:512, Augment: Auxiliary Transmission Coil
thermalexpansion:augment:513, Augment: Fuel Catalyzer
thermalexpansion:augment:514, Augment: Transmission Coil Ducting
thermalexpansion:augment:515, Augment: Excitation Field Limiter
thermalexpansion:augment:576, Augment: Boiler Conversion
thermalexpansion:augment:640, Augment: Turbine Conversion
thermalexpansion:augment:656, Augment: Isentropic Reservoir
thermalexpansion:augment:672, Augment: Closed-Loop Cooling
thermalexpansion:augment:673, Augment: Ignition Plugs
thermalexpansion:augment:674, Augment: Agitative Manifold
thermalexpansion:augment:688, Augment: Elemental Catalyzer
thermalexpansion:augment:704, Augment: Disjunctive Extraction
thermalexpansion:augment:720, Augment: Lapidary Calibration
thermalexpansion:florb:0, Florb (Empty§r)
thermalexpansion:florb:1, Magmatic Florb (Empty§r)
thermalexpansion:morb:0, Morb (Empty§r)
thermalexpansion:morb:1, Reusable Morb (Empty§r)
redstonearsenal:storage:0, Fluxed Electrum Block
redstonearsenal:storage:1, Flux Crystal Block
redstonearsenal:material:0, Fluxed Electrum Blend
redstonearsenal:material:32, Fluxed Electrum Ingot
redstonearsenal:material:64, Fluxed Electrum Nugget
redstonearsenal:material:96, Fluxed Electrum Gear
redstonearsenal:material:128, Fluxed Electrum Plate
redstonearsenal:material:160, Flux Crystal
redstonearsenal:material:192, Obsidian Rod
redstonearsenal:material:193, Flux-Infused Obsidian Rod
redstonearsenal:material:224, Fluxed Armor Plating
redstonearsenal:util.quiver_flux, Flux-Infused Quiver
redstonearsenal:armor.helmet_flux, Flux-Infused Helm
redstonearsenal:armor.plate_flux, Flux-Infused Chestplate
redstonearsenal:armor.legs_flux, Flux-Infused Leggings
redstonearsenal:armor.boots_flux, Flux-Infused Boots
redstonearsenal:tool.wrench_flux, Flux-Infused OmniWrench
redstonearsenal:tool.battlewrench_flux, Flux-Infused BattleWrench
redstonearsenal:tool.sword_flux, Flux-Infused Sword
redstonearsenal:tool.shovel_flux, Flux-Infused Shovel
redstonearsenal:tool.pickaxe_flux, Flux-Infused Pickaxe
redstonearsenal:tool.axe_flux, Flux-Infused Axe
redstonearsenal:tool.bow_flux, Flux-Infused Bow
redstonearsenal:tool.fishing_rod_flux, Flux-Infused Fishing Rod
redstonearsenal:tool.sickle_flux, Flux-Infused Sickle
redstonearsenal:tool.hammer_flux, Flux-Infused Hammer
redstonearsenal:tool.excavator_flux, Flux-Infused Excavator
redstonearsenal:tool.shield_flux, Flux-Infused Shield
thermalcultivation:watering_can:0, Watering Can (Basic)
thermalcultivation:watering_can:1, Watering Can (Hardened)
thermalcultivation:watering_can:2, Watering Can (Reinforced)
thermalcultivation:watering_can:3, Watering Can (Signalum)
thermalcultivation:watering_can:4, Watering Can (Resonant)
thermalcultivation:watering_can:32000, Watering Can (Creative)
thermaldynamics:duct_0:0, Leadstone Fluxduct
thermaldynamics:duct_0:1, Hardened Fluxduct
thermaldynamics:duct_0:2, Redstone Energy Fluxduct
thermaldynamics:duct_0:3, Signalum Fluxduct
thermaldynamics:duct_0:4, Resonant Fluxduct
thermaldynamics:duct_0:5, Cryo-Stabilized Fluxduct
thermaldynamics:duct_0:6, Redstone Energy Fluxduct (Empty)
